Date,Manhattan price per sqft,Brooklyn price per sqft,Bronx price per sqft,Queens price per sqft,Staten Island price per sqft
2014-01,1216.24,525.6511627906976,259.7368421052632,377.47457627118644,263.2916666666667
2014-02,1224.8,530.1860465116279,257.8421052631579,379.9830508474576,263.6041666666667
2014-03,1234.64,534.2790697674419,256.7894736842105,382.8305084745763,265.2083333333333
2014-04,1250.04,538.5348837209302,256.4736842105263,385.5762711864407,266.8958333333333
2014-05,1265.88,543.0930232558139,255.94736842105263,387.33898305084745,268.0208333333333
2014-06,1280.4,547.0232558139535,255.52631578947367,388.96610169491527,268.8541666666667
2014-07,1293.76,551.3720930232558,256.1578947368421,392.22033898305085,270.0416666666667
2014-08,1306.88,557.7674418604652,257.36842105263156,396.03389830508473,271.75
2014-09,1318.92,565.5348837209302,258.42105263157896,398.9491525423729,273.5625
2014-10,1329.24,571.7209302325581,259.8421052631579,401.3050847457627,275.3958333333333
2014-11,1336.52,577.0930232558139,261.7368421052632,404.22033898305085,276.4166666666667
2014-12,1339.68,582.2325581395348,263.57894736842104,406.864406779661,277.25
2015-01,1341.52,586.5581395348837,264.05263157894734,409.06779661016947,279.2291666666667
2015-02,1344.32,589.953488372093,264.6842105263158,411.1525423728813,281.75
2015-03,1347.32,594.8837209302326,265.36842105263156,413.47457627118644,283.3125
2015-04,1351.84,601.4883720930233,265.94736842105266,415.5762711864407,284.0625
2015-05,1358.04,607.8604651162791,266.7368421052632,417.40677966101697,284.6041666666667
2015-06,1365.44,613.046511627907,267.7368421052632,419.79661016949154,284.5
2015-07,1374.88,619.3953488372093,268.05263157894734,423.1186440677966,283.8958333333333
2015-08,1386.36,626.4883720930233,268.6842105263158,426.1186440677966,284.1875
2015-09,1396.84,633.1395348837209,270.05263157894734,428.3898305084746,285.375
2015-10,1405.88,638.7906976744187,271.94736842105266,431.271186440678,287.0
2015-11,1412.72,643.8604651162791,273.4736842105263,434.35593220338984,288.4375
2015-12,1418.0,647.8372093023256,274.7894736842105,437.2542372881356,290.0416666666667
2016-01,1424.44,652.0697674418604,275.10526315789474,440.3220338983051,292.2291666666667
2016-02,1432.92,657.2790697674419,274.63157894736844,443.4237288135593,294.5208333333333
2016-03,1438.8,662.0,275.3157894736842,445.6779661016949,296.3541666666667
2016-04,1438.28,665.6744186046511,276.8421052631579,447.8474576271187,298.125
2016-05,1435.72,668.2093023255813,278.7368421052632,450.6779661016949,299.75
2016-06,1433.88,669.7906976744187,281.1578947368421,453.33898305084745,300.5208333333333
2016-07,1434.2,671.1162790697674,282.89473684210526,456.1694915254237,301.125
2016-08,1433.12,674.2790697674419,284.57894736842104,460.0169491525424,302.9583333333333
2016-09,1429.76,678.1627906976744,288.2631578947368,463.0169491525424,306.375
2016-10,1426.08,681.0232558139535,292.8421052631579,466.10169491525426,310.9583333333333
2016-11,1427.36,684.7441860465116,297.2105263157895,470.20338983050846,315.0833333333333
2016-12,1432.24,689.8139534883721,300.8421052631579,474.5762711864407,318.0625
2017-01,1437.76,694.1162790697674,303.57894736842104,477.52542372881356,319.7916666666667
2017-02,1438.96,696.7906976744187,305.57894736842104,478.76271186440675,321.3541666666667
2017-03,1435.68,699.6976744186046,307.3157894736842,480.6101694915254,323.9375
2017-04,1429.72,702.6279069767442,308.8421052631579,483.728813559322,326.9791666666667
2017-05,1427.04,704.4651162790698,310.36842105263156,486.864406779661,330.4791666666667
2017-06,1428.92,705.5813953488372,311.89473684210526,488.59322033898303,334.8333333333333
2017-07,1431.36,708.6511627906976,313.3157894736842,490.59322033898303,340.0625
2017-08,1429.6,713.3953488372093,315.1578947368421,493.6101694915254,344.1458333333333
2017-09,1428.84,717.5116279069767,317.0,497.6271186440678,346.0833333333333
2017-10,1428.68,719.2790697674419,317.4736842105263,501.2881355932203,347.1041666666667
2017-11,1425.56,719.6279069767442,317.89473684210526,503.79661016949154,348.5416666666667
2017-12,1421.16,721.3023255813954,318.63157894736844,505.64406779661016,350.5208333333333
2018-01,1421.8,726.1860465116279,319.94736842105266,508.7457627118644,353.3958333333333
2018-02,1426.28,732.0,321.3157894736842,512.0847457627119,356.3541666666667
2018-03,1429.64,736.8604651162791,323.42105263157896,515.6949152542373,359.1666666666667
2018-04,1437.28,740.7209302325581,324.94736842105266,519.6779661016949,362.4583333333333
2018-05,1447.28,744.3488372093024,326.5263157894737,524.5762711864406,365.0833333333333
2018-06,1450.04,747.4186046511628,328.42105263157896,528.6779661016949,367.125
2018-07,1444.96,748.8604651162791,329.8421052631579,530.7796610169491,368.6666666666667
